n_samples,n_features,corr_level,constraints,simulation,method,train_rmse,test_rmse,train_r2,test_r2,coef_rmse,coef_mae,run_time,coef_0,coef_1,coef_2,coef_3,true_coef_0,true_coef_1,true_coef_2,true_coef_3,error,sign_correct,true_coef_abs_error
10,4,0.0,none,0,OLS,0.6509407806749298,0.7315194391054405,0.9936601882594726,,0.18009106901768943,0.17191026066518378,0.006434440612792969,4.248312300036625,-4.333570606554795,4.080729773487849,-3.381305657100027,4.389628960580699,-4.449695630401509,4.339073000818308,-3.209449526160539,,1.0,0
10,4,0.0,none,0,Ridge,0.6509407806749298,0.7315194391054405,0.9936601882594726,,0.18009106901768943,0.17191026066518378,0.003999233245849609,4.248312300036625,-4.333570606554795,4.080729773487849,-3.381305657100027,4.389628960580699,-4.449695630401509,4.339073000818308,-3.209449526160539,,1.0,0
10,4,0.0,none,0,Lasso,0.6509407806749298,0.7315194391054405,0.9936601882594726,,0.18009106901768943,0.17191026066518378,0.003000020980834961,4.248312300036625,-4.333570606554795,4.080729773487849,-3.381305657100027,4.389628960580699,-4.449695630401509,4.339073000818308,-3.209449526160539,,1.0,0
10,4,0.0,none,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.0,none,0,ConstrainedRegression,0.6509407806749297,0.731519439105444,0.9936601882594726,,0.1800910690176908,0.17191026066518522,0.006995201110839844,4.248312300036626,-4.33357060655479,4.080729773487846,-3.3813056571000266,4.389628960580699,-4.449695630401509,4.339073000818308,-3.209449526160539,,1.0,0
10,4,0.0,none,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.0,none,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.0,none,0,ConstrainedElasticNetRegression,0.6509407807304832,0.7315224125114099,0.9936601882583904,,0.18009326574397325,0.17191258937117748,1.6479363441467285,4.248308036340226,-4.333566257301424,4.080725677961011,-3.381302263447394,4.389628960580699,-4.449695630401509,4.339073000818308,-3.209449526160539,,1.0,0
10,4,0.0,correct,0,OLS,0.650940780674929,0.7315194391054325,0.9917907133002216,,0.18009106901768823,0.17191026066518267,0.02409839630126953,2.953594666058091,-4.649635792591403,3.620512746863668,-3.1897399167975133,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.0,correct,0,Ridge,0.650940780674929,0.7315194391054325,0.9917907133002216,,0.18009106901768823,0.17191026066518267,0.009804487228393555,2.953594666058091,-4.649635792591403,3.620512746863668,-3.1897399167975133,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.0,correct,0,Lasso,0.650940780674929,0.7315194391054325,0.9917907133002216,,0.18009106901768823,0.17191026066518267,0.011594772338867188,2.953594666058091,-4.649635792591403,3.620512746863668,-3.1897399167975133,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.0,correct,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.0,correct,0,ConstrainedRegression,0.650940780674929,0.7315194391054449,0.9917907133002216,,0.1800910690176896,0.17191026066518356,0.021237611770629883,2.953594666058092,-4.649635792591403,3.620512746863664,-3.189739916797514,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.0,correct,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.0,correct,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.0,correct,0,ConstrainedElasticNetRegression,0.6509407807232088,0.7315200419380092,0.9917907132990039,,0.1800930396120993,0.1719123812500576,1.0895638465881348,2.953591547498697,-4.649630883566676,3.620508924256659,-3.1897365489458824,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,none,0,OLS,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.00834798812866211,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,none,0,Ridge,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.0049588680267333984,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,none,0,Lasso,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.007019996643066406,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,none,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.3,none,0,ConstrainedRegression,0.6509407806749292,0.7315194391054405,0.9774433790902236,,0.20451885109296916,0.19116548132665567,0.00807952880859375,3.266373086388591,-4.922281226441042,4.192247058030587,-3.141172457538836,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,none,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.3,none,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.3,none,0,ConstrainedElasticNetRegression,0.6509407808514591,0.731515244119028,0.9774433790779893,,0.20450654494797804,0.19115259470368307,1.1109836101531982,3.2663622389877767,-4.922264880725448,4.192233136336932,-3.141162025857008,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,correct,0,OLS,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.008086442947387695,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,correct,0,Ridge,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.006912946701049805,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,correct,0,Lasso,0.6509407806749288,0.731519439105428,0.9774433790902236,,0.20451885109296863,0.19116548132665512,0.02048349380493164,3.266373086388594,-4.922281226441044,4.192247058030585,-3.141172457538831,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,correct,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.3,correct,0,ConstrainedRegression,0.6509407806749292,0.7315194391054405,0.9774433790902236,,0.20451885109296916,0.19116548132665567,0.016358137130737305,3.266373086388591,-4.922281226441042,4.192247058030587,-3.141172457538836,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.3,correct,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.3,correct,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.3,correct,0,ConstrainedElasticNetRegression,0.6509407808514591,0.731515244119028,0.9774433790779893,,0.20450654494797804,0.19115259470368307,0.982621431350708,3.2663622389877767,-4.922264880725448,4.192233136336932,-3.141162025857008,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,none,0,OLS,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.007989883422851562,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,none,0,Ridge,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.004530668258666992,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,none,0,Lasso,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.005002498626708984,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,none,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.7,none,0,ConstrainedRegression,0.6509407806749296,0.7315194391054369,0.9621483320588188,,0.3050865904770104,0.28018144335795314,0.007015705108642578,3.3186523458167905,-5.245861233421746,4.13658597788795,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,none,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
