index,year,period,periodName,value,footnotes,series_title,series_id,seasonality,survey_name,survey_abbreviation,measure_data_type,area,item,commerce_industry,latest,BY,BY_VALUE,date
0,1995,M12,December,153.5,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5930965111629006,1995-12-01
1,1995,M11,November,153.6,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5934828932548634,1995-11-01
2,1995,M10,October,153.7,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5938692753468261,1995-10-01
3,1995,M09,September,153.2,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5919373648870121,1995-09-01
4,1995,M08,August,152.9,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5907782186111238,1995-08-01
5,1995,M07,July,152.5,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5892326902432726,1995-07-01
6,1995,M06,June,152.5,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5892326902432726,1995-06-01
7,1995,M05,May,152.2,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5880735439673841,1995-05-01
8,1995,M04,April,151.9,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5869143976914958,1995-04-01
9,1995,M03,March,151.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5849824872316818,1995-03-01
10,1995,M02,February,150.9,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5830505767718678,1995-02-01
11,1995,M01,January,150.3,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5807322842200909,1995-01-01
12,1994,M12,December,149.7,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5784139916683141,1994-12-01
13,1994,M11,November,149.7,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5784139916683141,1994-11-01
14,1994,M10,October,149.5,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5776412274843885,1994-10-01
15,1994,M09,September,149.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5772548453924258,1994-09-01
16,1994,M08,August,149.0,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5757093170245745,1994-08-01
17,1994,M07,July,148.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5733910244727978,1994-07-01
18,1994,M06,June,148.0,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5718454961049465,1994-06-01
19,1994,M05,May,147.5,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5699135856451325,1994-05-01
20,1994,M04,April,147.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5695272035531697,1994-04-01
21,1994,M03,March,147.2,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5687544393692441,1994-03-01
22,1994,M02,February,146.7,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5668225289094301,1994-02-01
23,1994,M01,January,146.2,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5648906184496161,1994-01-01
24,1993,M12,December,145.8,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5633450900817649,1993-12-01
25,1993,M11,November,145.8,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5633450900817649,1993-11-01
26,1993,M10,October,145.7,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.562958707989802,1993-10-01
27,1993,M09,September,145.1,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5606404154380252,1993-09-01
28,1993,M08,August,144.8,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5594812691621369,1993-08-01
29,1993,M07,July,144.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5579357407942857,1993-07-01
30,1993,M06,June,144.4,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.5579357407942857,1993-06-01
31,1993,M05,May,144.2,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.55716297661036,1993-05-01
