ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1984,99.94200424,96.97535550618291,102.55182540906817,99.94200424,99.94200424,-0.1362095983956468,-0.1362095983956468,-0.1362095983956468,-0.1362095983956468,-0.1362095983956468,-0.1362095983956468,0.0,0.0,0.0,99.80579464160435
1986,105.2723339410444,102.58370396993915,108.05774192177569,105.2723339410444,105.2723339410444,0.10954331085260897,0.10954331085260897,0.10954331085260897,0.10954331085260897,0.10954331085260897,0.10954331085260897,0.0,0.0,0.0,105.381877251897
1987,108.73112585355015,106.13412288897939,111.61569254508356,108.73112585355015,108.73112585355015,0.10892822117801111,0.10892822117801111,0.10892822117801111,0.10892822117801111,0.10892822117801111,0.10892822117801111,0.0,0.0,0.0,108.84005407472814
1988,112.20070788936522,109.51153946403407,115.0491150601825,112.20070788936522,112.20070788936522,0.05597105197187447,0.05597105197187447,0.05597105197187447,0.05597105197187447,0.05597105197187447,0.05597105197187447,0.0,0.0,0.0,112.25667894133709
1989,115.67879367571305,113.09774837688911,118.57400037214323,115.67879367571305,115.67879367571305,0.11004515005125604,0.11004515005125604,0.11004515005125604,0.11004515005125604,0.11004515005125604,0.11004515005125604,0.0,0.0,0.0,115.7888388257643
1990,119.15710427437479,116.52278451161168,122.0071573037226,119.15710427437479,119.15710427437479,0.10954331085261225,0.10954331085261225,0.10954331085261225,0.10954331085261225,0.10954331085261225,0.10954331085261225,0.0,0.0,0.0,119.2666475852274
1991,122.6132082044765,120.00423416813756,125.44733222565753,122.6132082044765,122.6132082044765,0.10892822117796547,0.10892822117796547,0.10892822117796547,0.10892822117796547,0.10892822117796547,0.10892822117796547,0.0,0.0,0.0,122.72213642565447
1992,126.06319794323771,123.37242174799587,128.87121048976158,126.06319794323771,126.06319794323771,0.055971051971949536,0.055971051971949536,0.055971051971949536,0.055971051971949536,0.055971051971949536,0.055971051971949536,0.0,0.0,0.0,126.11916899520965
1993,129.41091296946624,126.77343999209761,132.257585718202,129.41091296946624,129.41091296946624,0.11004515005131645,0.11004515005131645,0.11004515005131645,0.11004515005131645,0.11004515005131645,0.11004515005131645,0.0,0.0,0.0,129.52095811951756
1994,132.38930684318444,129.769134267423,135.1794233041972,132.38930684318444,132.38930684318444,0.10954331085260648,0.10954331085260648,0.10954331085260648,0.10954331085260648,0.10954331085260648,0.10954331085260648,0.0,0.0,0.0,132.49885015403706
1995,135.25734766496598,132.5964870119448,138.08565393178273,135.25734766496598,135.25734766496598,0.10892822117804873,0.10892822117804873,0.10892822117804873,0.10892822117804873,0.10892822117804873,0.10892822117804873,0.0,0.0,0.0,135.36627588614402
1996,138.1115831796395,135.45824540716578,140.90587011010692,138.1115831796395,138.1115831796395,0.05597105197181166,0.05597105197181166,0.05597105197181166,0.05597105197181166,0.05597105197181166,0.05597105197181166,0.0,0.0,0.0,138.16755423161132
1997,140.92635029324003,138.32976353785668,143.7553795665798,140.92635029324003,140.92635029324003,0.11004515005133987,0.11004515005133987,0.11004515005133987,0.11004515005133987,0.11004515005133987,0.11004515005133987,0.0,0.0,0.0,141.03639544329138
1998,143.64300985442262,141.00039288276514,146.50555174995569,143.64300985442262,143.64300985442262,0.10954331085261555,0.10954331085261555,0.10954331085261555,0.10954331085261555,0.10954331085261555,0.10954331085261555,0.0,0.0,0.0,143.75255316527526
1999,146.3551114550147,143.73381085222437,149.2467331761453,146.3551114550147,146.3551114550147,0.10892822117809854,0.10892822117809854,0.10892822117809854,0.10892822117809854,0.10892822117809854,0.10892822117809854,0.0,0.0,0.0,146.4640396761928
2000,149.10713046368738,146.40094245175564,151.9447931537796,149.10713046368738,149.10713046368738,0.05597105197188803,0.05597105197188803,0.05597105197188803,0.05597105197188803,0.05597105197188803,0.05597105197188803,0.0,0.0,0.0,149.1631015156593
2001,152.49101350442916,149.82751603534837,155.33281225237587,152.49101350442916,152.49101350442916,0.11004515005136269,0.11004515005136269,0.11004515005136269,0.11004515005136269,0.11004515005136269,0.11004515005136269,0.0,0.0,0.0,152.60105865448054
2002,157.09503476906133,154.51176282845412,159.83552086051125,157.09503476906133,157.09503476906133,0.1095433108526021,0.1095433108526021,0.1095433108526021,0.1095433108526021,0.1095433108526021,0.1095433108526021,0.0,0.0,0.0,157.20457807991394
2003,163.06601548707775,160.46547874010045,165.9069795505079,163.06601548707775,163.06601548707775,0.1089282211779911,0.1089282211779911,0.1089282211779911,0.1089282211779911,0.1089282211779911,0.1089282211779911,0.0,0.0,0.0,163.1749437082557
2004,169.18936302554127,166.49870550509212,171.97215080019882,169.18936302554127,169.18936302554127,0.0559710519718788,0.0559710519718788,0.0559710519718788,0.0559710519718788,0.0559710519718788,0.0559710519718788,0.0,0.0,0.0,169.24533407751315
2005,175.31304682225837,172.7191480854326,178.19010579459817,175.31304682225837,175.31304682225837,0.11004515005123107,0.11004515005123107,0.11004515005123107,0.11004515005123107,0.11004515005123107,0.11004515005123107,0.0,0.0,0.0,175.4230919723096
2006,181.43393578176327,178.8986789151745,184.25454538572401,181.43393578176327,181.43393578176327,0.10954331085259549,0.10954331085259549,0.10954331085259549,0.10954331085259549,0.10954331085259549,0.10954331085259549,0.0,0.0,0.0,181.54347909261585
2007,187.55468174262322,184.9848793570316,190.45714482537267,187.55468174262322,187.55468174262322,0.10892822117794503,0.10892822117794503,0.10892822117794503,0.10892822117794503,0.10892822117794503,0.10892822117794503,0.0,0.0,0.0,187.66360996380115
2008,193.54011990321217,190.81414372996332,196.348625187587,193.54011990321217,193.54011990321217,0.055971051972003444,0.055971051972003444,0.055971051972003444,0.055971051972003444,0.055971051972003444,0.055971051972003444,0.0,0.0,0.0,193.5960909551842
2009,198.71492996268603,196.0716807591142,201.5525735831463,198.71492996268603,198.71492996268603,0.11004515005135401,0.11004515005135401,0.11004515005135401,0.11004515005135401,0.11004515005135401,0.11004515005135401,0.0,0.0,0.0,198.8249751127374
2010,203.07323509128642,200.4183953369239,205.93742049881038,203.07323509128642,203.07323509128642,0.10954331085261854,0.10954331085261854,0.10954331085261854,0.10954331085261854,0.10954331085261854,0.10954331085261854,0.0,0.0,0.0,203.182778402139
2011,206.43170116831104,203.79874725101092,209.24991204790604,206.43170116831104,206.43170116831104,0.10892822117800927,0.10892822117800927,0.10892822117800927,0.10892822117800927,0.10892822117800927,0.10892822117800927,0.0,0.0,0.0,206.54062938948903
2012,209.13916944996117,206.45000592792508,211.93851438696186,209.13916944996117,209.13916944996117,0.0559710519720529,0.0559710519720529,0.0559710519720529,0.0559710519720529,0.0559710519720529,0.0559710519720529,0.0,0.0,0.0,209.19514050193322
2013,211.50296550140752,208.902884096578,214.38305224577417,211.50296550140752,211.50296550140752,0.11004515005123257,0.11004515005123257,0.11004515005123257,0.11004515005123257,0.11004515005123257,0.11004515005123257,0.0,0.0,0.0,211.61301065145872
2014,213.85091996246328,211.19747689781022,216.68403893403868,213.85091996246328,213.85091996246328,0.10954331085256967,0.10954331085256967,0.10954331085256967,0.10954331085256967,0.10954331085256967,0.10954331085256967,0.0,0.0,0.0,213.96046327331587
2015,217.65988253683273,215.03245060810025,220.5182178211305,217.65988253683273,217.65988253683273,0.10892822117810384,0.10892822117810384,0.10892822117810384,0.10892822117810384,0.10892822117810384,0.10892822117810384,0.0,0.0,0.0,217.76881075801086
2016,222.39892623323342,219.7035785314841,225.17221643943228,222.39892623323342,222.39892623323342,0.05597105197177083,0.05597105197177083,0.05597105197177083,0.05597105197177083,0.05597105197177083,0.05597105197177083,0.0,0.0,0.0,222.45489728520522
2017,227.12933385911677,224.5331313881658,229.97850502416654,227.12933385911677,227.12933385911677,0.11004515005144559,0.11004515005144559,0.11004515005144559,0.11004515005144559,0.11004515005144559,0.11004515005144559,0.0,0.0,0.0,227.23937900916823
2018,231.85758246737078,229.24637349524608,234.71634520640603,231.85758246737078,231.85758246737078,0.10954331085264314,0.10954331085264314,0.10954331085264314,0.10954331085264314,0.10954331085264314,0.10954331085264314,0.0,0.0,0.0,231.9671257782234
2019,236.5858310756248,233.93830914908054,239.45125637738838,236.5858310756248,236.5858310756248,0.10892822117803876,0.10892822117803876,0.10892822117803876,0.10892822117803876,0.10892822117803876,0.10892822117803876,0.0,0.0,0.0,236.6947592968028
2020,241.3248747720255,238.588393104729,244.03537385383538,241.3248747720255,241.3248747720255,0.05597105197198889,0.05597105197198889,0.05597105197198889,0.05597105197198889,0.05597105197198889,0.05597105197198889,0.0,0.0,0.0,241.38084582399748
2021,246.05528239790883,243.43458749588078,248.9618176941191,246.05528239790883,246.05528239790883,0.11004515005138249,0.11004515005138249,0.11004515005138249,0.11004515005138249,0.11004515005138249,0.11004515005138249,0.0,0.0,0.0,246.16532754796023
2022,252.40040270094744,249.53161186590893,255.03649848232706,252.40040270094744,252.40043423004087,-0.11093449619687056,-0.11093449619687056,-0.11093449619687056,-0.11093449619687056,-0.11093449619687056,-0.11093449619687056,0.0,0.0,0.0,252.2894682047506
2023,255.71256825394545,252.95128843040789,258.47580363452045,255.58603491289287,255.84411762624092,-0.0001111247468812368,-0.0001111247468812368,-0.0001111247468812368,-0.0001111247468812368,-0.0001111247468812368,-0.0001111247468812368,0.0,0.0,0.0,255.71245712919853
2024,260.4472939150874,257.59307575086086,263.33281099850393,259.84415474603145,261.1321544829772,0.00036004854499407615,0.00036004854499407615,0.00036004854499407615,0.00036004854499407615,0.00036004854499407615,0.00036004854499407615,0.0,0.0,0.0,260.44765396363243
