Version,Service,tags,Type,Long Title,Indice,1970,1971,1972,1973,1974,1975,1976,197T,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Joint Inflation Calculator April 2019,n,Procurement,Raw,"APN = Aircraft Procurement, Navy (1506)",APN,0.1618,0.1692,0.1757,0.1830,0.1935,0.2106,0.2245,0.2324,0.2412,0.2576,0.2801,0.3132,0.3495,0.3995,0.4354,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,"BRAC = Base Realignment and Closure, Navy (Milcon)",BRAC,0.1643,0.1786,0.1892,0.1997,0.2232,0.2592,0.2670,0.2712,0.2788,0.3002,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,"BRAC ER = Base Realignment and Closure, Environmental Restoration Navy EXPIRED",BRAC ER,0.1643,0.1786,0.1892,0.1997,0.2232,0.2592,0.2670,0.2712,0.2788,0.3002,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,nmd,Manpower,Raw,CICPAY = Civilian Payroll for all services (OSD Cost Element),Civ Pay*,0.1569,0.1708,0.1853,0.1964,0.2142,0.2319,0.2510,0.2584,0.2734,0.2945,0.3123,0.3337,0.3627,0.3826,0.3990,0.4110,0.4259,0.4259,0.4355,0.4452,0.4612,0.4783,0.4974,0.5182,0.5379,0.5428,0.5509,0.5620,0.5774,0.5939,0.6141,0.6417,0.6672,0.6964,0.7258,0.7556,0.7831,0.8081,0.8277,0.8540,0.8865,0.9083,0.9128,0.9128,0.9128,0.9196,0.9288,0.9402,0.9581,0.9768,0.9953,1.0000,1.0158,1.0371,1.0589,1.0811,1.1038,1.1270,1.1506,1.1748,1.1995,1.2247,1.2504,1.2766,1.3035,1.3308,1.3588,1.3873,1.4164,1.4462,1.4766,1.5076,1.5392,1.5715,1.6045,1.6382,1.6726,1.7078,1.7436,1.7803,1.8176,1.8558,1.8948,1.9346,1.9752,2.0167,2.0590,2.1023,2.1464,2.1915,2.2375,2.2845
Joint Inflation Calculator April 2019,nmd,,Raw,ENVREST = Environmental Restoration for all services (O&M) ,ENV  REST,0.1643,0.1786,0.1892,0.1997,0.2232,0.2592,0.2670,0.2712,0.2788,0.3002,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,nm,,Raw,"FAMHSG (CON)  (Purchases) = Family Housing, Navy & Marine Corps (Construction) (0730)",FH (Con) Purch,0.1618,0.1683,0.1752,0.1793,0.2018,0.2441,0.2606,0.2682,0.2808,0.3007,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,nm,,Raw,"FAMHSG (OPS)  (Purchases) = Family Housing, Navy & Marine Corps (Operations) (0735)",FH (Ops) Purch,0.1618,0.1683,0.1752,0.1793,0.2018,0.2441,0.2606,0.2682,0.2808,0.3007,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,nm,,Raw,"FAMHSG Construction (COMPOSITE) Family Housing, Navy & Marine Corps (0730)",FH Con COMP,0.1608,0.1684,0.1763,0.1814,0.2032,0.2422,0.2591,0.2666,0.2795,0.2997,0.3256,0.3584,0.3955,0.4244,0.4448,0.4612,0.4770,0.4885,0.5014,0.5159,0.5371,0.5584,0.5822,0.5996,0.6167,0.6281,0.6397,0.6525,0.6651,0.6718,0.6796,0.6921,0.7066,0.7158,0.7262,0.7429,0.7645,0.7883,0.8093,0.8296,0.8447,0.8535,0.8687,0.8822,0.8936,0.9060,0.9159,0.9269,0.9429,0.9633,0.9825,1.0000,1.0194,1.0399,1.0609,1.0822,1.1040,1.1263,1.1490,1.1721,1.1957,1.2198,1.2444,1.2694,1.2950,1.3211,1.3477,1.3748,1.4025,1.4307,1.4596,1.4890,1.5189,1.5495,1.5807,1.6126,1.6451,1.6782,1.7120,1.7465,1.7816,1.8175,1.8541,1.8915,1.9296,1.9684,2.0081,2.0485,2.0898,2.1319,2.1748,2.2186
Joint Inflation Calculator April 2019,nmd,Fuel,Raw,Fuel for all services (OSD Cost Element),Fuel*,0.0976,0.1020,0.1059,0.1103,0.1168,0.1345,0.1445,0.1445,0.1564,0.1675,0.1936,0.3611,0.4182,0.4653,0.4193,0.3614,0.3352,0.2904,0.2667,0.2235,0.2237,0.1996,0.3737,0.2492,0.2527,0.2884,0.2526,0.2667,0.2702,0.3234,0.2950,0.2204,0.3590,0.3554,0.2985,0.3233,0.4300,0.6866,0.6963,0.9406,0.6472,0.8109,1.0071,1.0384,1.1256,1.0929,1.0285,0.7117,0.7544,0.8295,1.0070,1.0000,0.9730,0.9633,0.9941,1.0110,1.0363,1.0622,1.0887,1.1159,1.1438,1.1724,1.2018,1.2318,1.2626,1.2942,1.3265,1.3597,1.3937,1.4285,1.4642,1.5008,1.5383,1.5768,1.6162,1.6566,1.6980,1.7405,1.7840,1.8286,1.8743,1.9212,1.9692,2.0184,2.0689,2.1206,2.1736,2.2280,2.2837,2.3408,2.3993,2.4593
Joint Inflation Calculator April 2019,nmd,Manpower,Raw,Military Pay only (OSD Cost Element),Mil Pay*,0.1106,0.1198,0.1398,0.1572,0.1678,0.1789,0.1881,0.1904,0.1988,0.2126,0.2253,0.2414,0.2797,0.3180,0.3308,0.3407,0.3543,0.3649,0.3732,0.3815,0.3952,0.4099,0.4262,0.4440,0.4610,0.4728,0.4846,0.4964,0.5106,0.5251,0.5430,0.5675,0.5900,0.6261,0.6588,0.6870,0.7121,0.7349,0.7527,0.7766,0.8062,0.8346,0.8503,0.8635,0.8780,0.8883,0.8971,0.9081,0.9254,0.9469,0.9711,1.0000,1.0272,1.0539,1.0813,1.1094,1.1383,1.1679,1.1983,1.2294,1.2614,1.2942,1.3278,1.3623,1.3978,1.4341,1.4714,1.5096,1.5489,1.5892,1.6305,1.6729,1.7164,1.7610,1.8068,1.8538,1.9020,1.9514,2.0021,2.0542,2.1076,2.1624,2.2186,2.2763,2.3355,2.3962,2.4585,2.5224,2.5880,2.6553,2.7244,2.7952
